Feature No,Backend Feature Name,Description
BF-01,Board Creation & Configuration API,"REST API to create a new Account Board with name, description, ownership CRM user lookup field, and aggregation method (Account Count / ARR Sum). Implements a four-step wizard state machine: Details → Tabs → Columns → Briefs with field validation at each step."
BF-02,Tab Configuration & Filter Logic Engine,"Backend service to configure up to 8 tabs per board. Each tab stores CRM and AI field filter conditions (Field, Operator, Value) with AND/OR logic and nested condition groups. Enforces the 8-tab maximum and evaluates conditions against live CRM data on every board refresh."
BF-03,Column Configuration API,"API to define and persist column layouts per board: selectable CRM fields, AI-generated columns, and system columns. Manages display order, column metadata, and any required amount field linkage when ARR Sum aggregation is active."
BF-04,AI Brief Configuration API,"API endpoint to set the default AI brief type and time-period window per board. Persists configuration and passes parameters to the AI Brief Generation service at render time."
BF-05,Date-Based Filter Field API,"API to configure an optional date field as the board's global date range filter. Stores field mapping and surfaces it as a filterable dimension across all tabs on the board."
BF-06,Permission Profile & RBAC Engine,"Service to create and manage permission profiles controlling board visibility per user, role, and team. Enforces profile-based access on board load, tab navigation, and CRM edit operations. Supports role inheritance and multi-team assignments."
BF-07,Board Management API (Edit / Duplicate / Delete),"CRUD API for Admin-level board operations: edit any board configuration field, deep-copy a board with all tabs/columns/briefs into a new board, and permanently delete a board with cascading cleanup of associated records."
BF-08,CRM Account Data Sourcing & Real-Time Sync,"Data pipeline that sources account records from the connected CRM, maps fields to the board schema, and keeps values updated in near-real-time. Supports multi-CRM configurations and ensures field-type fidelity across object models."
BF-09,CRM Field Edit Validation & Write-Back Service,"Service that intercepts inline CRM field edits from the board, validates values against CRM field rules (type, required, picklist constraints), and writes changes back to the CRM via the integration layer. Returns structured error messages for invalid input."
BF-10,Multi-Board Orchestration API,"API layer enabling multiple independent boards per organisation. Manages board registry, last-viewed state per user, and board-switching with preserved filter/sort context."
BF-11,Activity Aggregation Engine,"Service that aggregates calls, emails, and meetings at the account level from the platform's activity store. Computes 21-day engagement windows, last-activity timestamps, and zero-activity flags consumed by sparklines and engagement indicators."
BF-12,AI Brief Generation Service,"LLM-backed service that generates account briefs scoped to captured platform activities within the configured time window. Enforces data grounding strictly to platform activity data. Returns structured brief content with source citations."
BF-13,Ask Anything / Natural Language Query Service,"Conversational AI endpoint accepting natural-language questions about a specific account. Retrieves relevant activity context, generates answers grounded in platform data, and streams responses back to the client panel."
BF-14,Manager Team-View Filter API,"API that exposes a searchable list of direct reports and teams for a manager, applies a multi-user ownership filter on the account query, and merges results with account-owner attribution while enforcing the manager's own CRM permissions for edits."
BF-15,Engagement Gap Detection & ARR Exposure Service,"Service that identifies accounts with zero or critically low engagement over the last 21 days, computes combined ARR for those accounts, and surfaces summary statistics (count, total ARR) for the Needs Engagement tab header warning."
BF-16,Activity Timeline API,"API that returns a chronological, paginated list of all captured activities (calls, emails, meetings) for a given account. Supports filtering by activity type and date range; powers both the detail panel timeline and the 21-day sparkline chart data."
BF-17,Board Filtering & Sorting API,"Query API layer enabling per-column sorting, multi-field CRM filter combinations, date-range filtering, and account-owner filters. Preserves filter/sort state in session for seamless tab switching and manager team-view changes."
BF-18,Account Panel Data API,"API that assembles full account context for the Account Panel: CRM field values, engagement metrics, brief availability, and deep-link to the Account Console. Ensures panel data is consistent with the board row without a second CRM round-trip."
BF-19,To-Dos & Notes API,"CRUD API for account-scoped to-do items and notes created from within the board or account panel. Persists items against the account record, supports status toggling on to-dos, and returns ordered lists per account for panel display."
BF-20,Active-Account Sourcing Filter,"Backend rule enforcing that only accounts with at least one recorded platform activity appear on any board. Applied as a mandatory filter at query time; cannot be overridden by end-user filters or admin column configuration."
BF-21,Engagement Indicator / Sparkline Data API,"Lightweight API returning per-account engagement bar data for the 21-day activity timeline column. Computes daily bucketed activity counts, flags zero-activity accounts, and highlights last-activity dates older than 30 days for red-text rendering."
BF-22,Board Session Persistence Service,"Service storing the last-viewed board ID per user and restoring it on next navigation to Revenue > Accounts. Also persists active tab, column sort, and filter state within a session to maintain context across page reloads."
